조합 이름,편의점,주요 상품,보조 상품(들),키워드 / 상황,카테고리,원문 URL (출처)
월급날Flex,공통,수입맥주 (4캔),"프리미엄 육포, 나쵸칩","월급날, 자축, 스트레스 해소, 퇴근 후, 혼술, 영화 감상, 주말 저녁",술안주/야식,[AI 증강]
악마의 유혹,GS25,마라볶음면,"치즈볼, 콜라","매운맛 중독, 스트레스 해소, 야식, 잠 안 올 때, 자극적인 맛, 혼밥",라면/분식 조합,[AI 증강]
비 오는 날 파전,공통,해물파전 (냉동),"막걸리, 김치","비 오는 날, 따뜻함, 낭만, 집콕, 술안주, 한국적인 맛",냉동/간편식 조합,[AI 증강]
캠핑 필수템,CU,숯불 닭꼬치,"소시지, 햇반, 김치","캠핑, 바베큐, 야외, 여행, 즐거움, 저녁, 든든함",육가공류/간편식 조합,[AI 증강]
혼자 영화관,세븐일레븐,팝콘,"탄산음료, 오징어","혼영, 주말, 심심함, 간식, 영화 감상, 달콤함, 짭짤함",스낵/음료 조합,[AI 증강]
숙취해소 끝판왕,공통,해장 라면 (컵),"이온 음료, 계란","숙취, 다음 날, 아침, 괴로움, 시원함, 얼큰함, 속 달래기",라면/음료 조합,[AI 증강]
뇌 풀 가동,GS25,에너지 드링크,"견과류, 초콜릿","시험 기간, 밤샘, 집중력 향상, 피로 회복, 뇌 활성화, 졸음 방지",음료/간식 조합,[AI 증강]
소울푸드,공통,즉석 떡볶이,"튀김, 순대, 쿨피스","분식, 그리움, 추억, 행복, 맛있음, 친구와 함께, 주말 점심",분식 조합,[AI 증강]
다이어트 간식,CU,닭가슴살,"샐러드, 제로 칼로리 음료","다이어트, 건강, 운동, 식단 관리, 가벼움, 상쾌함, 점심",건강/다이어트 조합,[AI 증강]
달콤한 위로,세븐일레븐,아이스크림,"마카롱, 커피","우울, 힘듦, 위로, 달콤함, 기분 전환, 스트레스 해소, 휴식",디저트/음료 조합,[AI 증강]
늦은 밤 야식,공통,족발/보쌈 (소),"라면, 맥주","야식, 늦은 밤, 배고픔, 드라마 시청, 혼술, 불면증, 스트레스 해소",육가공류/간편식 조합,[AI 증강]
상큼한 아침,GS25,모닝 샌드위치,"과일 주스, 요거트","아침, 상쾌함, 활력, 건강, 가벼움, 출근, 등교",간편식/음료 조합,[AI 증강]
매운맛 도전,공통,핵불닭볶음면,"쿨피스, 삼각김밥","매운맛, 도전, 스트레스 해소, 중독, 극강의 매움, 땀, 화끈함",라면/분식 조합,[AI 증강]
크리스마스 홈파티,CU,조각 케이크,"샴페인, 로스트 치킨","크리스마스, 파티, 특별함, 행복, 연말, 분위기, 사랑",디저트/육가공류 조합,[AI 증강]
장마철 꿀조합,세븐일레븐,부대찌개 라면,"스팸, 김치전","장마, 눅눅함, 따뜻함, 얼큰함, 집콕, 라면, 든든함",라면/간편식 조합,[AI 증강]
미세먼지 OUT,공통,생수 (2L),"배즙, 비타민","미세먼지, 건강, 목 건강, 수분 보충, 상쾌함, 깨끗함, 보호",음료/건강 조합,[AI 증강]
출출할 때 간식,GS25,핫도그,"우유, 젤리","간식, 출출함, 오후, 간단함, 달콤함, 짭짤함, 만족",빵/유제품 조합,[AI 증강]
퇴근 후 힐링,공통,와인 (미니),"치즈, 크래커","퇴근, 힐링, 휴식, 편안함, 혼술, 분위기, 고급스러움",술안주/간식 조합,[AI 증강]
입 터짐 방지,CU,견과류바,아메리카노,"식욕 억제, 다이어트, 건강, 입 심심함, 간편함, 죄책감 Down, 오후 간식",건강/음료 조합,[AI 증강]
기차 여행 필수템,세븐일레븐,삶은 계란,"사이다, 오징어","기차 여행, 심심함, 이동 중, 간식, 추억, 낭만, 즐거움",스낵/음료 조합,[AI 증강]
칼바람 퇴치,공통,호빵,"따뜻한 우유, 핫팩","겨울, 추위, 따뜻함, 포근함, 간식, 행복, 든든함",빵/유제품 조합,[AI 증강]
괴식 도전: 팥빙수 라면,공통,팥빙수,신라면 (컵),"괴식, 도전, 여름, 더위, 호기심, 극과 극의 만남, 엽기적",라면/디저트 조합,[AI 증강]
단짠 끝판왕: 짜장불닭,공통,불닭볶음면,짜파게티,"단짠, 매운맛, 퓨전, 중독성, 야식, 스트레스 해소, 괴식(?)",라면 조합,[AI 증강]
고급진 혼술: 연어 스테이크,CU,훈제 연어,"화이트 와인, 올리브","혼술, 분위기, 연말, 특별함, 고급, 안주, 나를 위한 선물",술안주/해산물 조합,[AI 증강]
힐링 타임: 반신욕,세븐일레븐,입욕제,"따뜻한 차, 초콜릿","힐링, 휴식, 반신욕, 아늑함, 스트레스 해소, 편안함, 나만의 시간",기타/음료 조합,[AI 증강]
이냉치냉: 겨울밤의 아이스크림,GS25,아이스크림 (파인트),핫초코,"겨울, 밤, 추위, 이냉치냉, 달콤함, 스트레스 해소, 집콕",디저트/음료 조합,[AI 증강]
프로 야근러 세트,공통,커피 (대용량),"에너지바, 초콜릿","야근, 피로, 졸림, 집중력, 에너지 충전, 씁쓸함, 간절함",음료/간식 조합,[AI 증강]
혼자 떠나는 즉흥 여행,CU,삼각김밥,"생수, 과자","여행, 자유, 설렘, 즉흥, 혼자, 간편, 어디든 떠나요",간편식/스낵 조합,[AI 증강]
비오는 날의 감성 폭발,세븐일레븐,컵라면 (매운맛),"캔맥주, 감자칩","비, 감성, 우울, 매운맛, 혼술, 위로, 촉촉함",라면/술안주 조합,[AI 증강]
나만의 작은 사치,GS25,수제 맥주,"프레첼, 치즈","퇴근, 휴식, 여유, 혼술, 나를 위한 선물, 고급, 특별함",술안주 조합,[AI 증강]
상큼하게 기분 전환,공통,탄산수,"레몬즙, 젤리","기분 전환, 상쾌함, 깔끔함, 다이어트, 갈증 해소, 리프레시",음료/간식 조합,[AI 증강]
늦잠 잔 날의 브런치,CU,에그 토스트,"오렌지 주스, 요거트","늦잠, 브런치, 간편, 든든함, 맛있는 아침, 주말, 여유",간편식/음료 조합,[AI 증강]
심야 영화 감상,세븐일레븐,팝콘,"콜라, 나쵸","영화, 심야, 혼영, 간식, 즐거움, 편안함, 힐링",스낵/음료 조합,[AI 증강]
운동 후 단백질 충전,GS25,프로틴 음료,"닭가슴살 소시지, 견과류","운동, 건강, 단백질, 근육, 활력, 몸매 관리, 상쾌함",건강/간식 조합,[AI 증강]
달콤한 휴식 시간,공통,케이크,"커피, 마카롱","휴식, 달콤함, 행복, 여유, 당 충전, 스트레스 해소, 오후",디저트/음료 조합,[AI 증강]
매콤달콤 환상 조합,CU,떡볶이,"모듬튀김, 쿨피스","매콤, 달콤, 환상, 분식, 행복, 친구, 수다",분식 조합,[AI 증강]
나홀로 불금,세븐일레븐,닭꼬치,"맥주, 감자칩","불금, 혼술, 자유, 편안, 영화, 드라마, 넷플릭스",술안주 조합,[AI 증강]
든든한 한 끼,GS25,도시락,"김치, 계란국","한 끼, 든든, 점심, 저녁, 가성비, 혼밥",간편식 조합,[AI 증강]
상쾌한 아침을 여는,공통,샌드위치,"과일주스, 요거트","상쾌, 아침, 활기, 건강, 가벼움, 출근, 등교",간편식/음료 조합,[AI 증강]
입 안 가득 퍼지는 행복,CU,마카롱,"아메리카노, 초콜릿","달콤, 행복, 기분전환, 스트레스 해소, 휴식",디저트/음료 조합,[AI 증강]
영화관 부럽지 않은,세븐일레븐,팝콘,"콜라, 핫도그","영화, 심야, 혼영, 간식, 즐거움, 편안함",스낵/음료 조합,[AI 증강]
집에서 즐기는 홈파티,GS25,치킨,"맥주, 피자","홈파티, 친구, 즐거움, 행복, 주말",술안주/간편식 조합,[AI 증강]
매운맛으로 스트레스 날려버려,공통,불닭볶음면,"쿨피스, 삼각김밥","매운맛, 도전, 스트레스 해소, 중독, 화끈함",라면/분식 조합,[AI 증강]
"피곤한 하루, 달콤한 위로",CU,초코우유,"케이크, 마카롱","피곤, 달콤, 위로, 휴식, 행복, 저녁",유제품/디저트 조합,[AI 증강]
혼자만의 힐링타임,세븐일레븐,와인,"치즈, 크래커","혼술, 힐링, 여유, 분위기, 특별함",술안주 조합,[AI 증강]
추억을 되살리는,GS25,쫀드기,"콜라, 슬러시","추억, 간식, 학창시절, 친구, 즐거움",스낵/음료 조합,[AI 증강]
월급날 FLEX 세트,공통,수입맥주 (4캔),"프리미엄 육포, 나쵸 & 살사소스","월급날, FLEX, 스트레스 해소, 퇴근 후 만찬, 혼술, 영화 감상, 주말, 여유",술안주/야식,[AI 증강]
비 오는 날 감성 세트,GS25,오뎅 (매운맛),"막걸리, 김치전","비 오는 날, 감성, 파전, 따뜻함, 집콕, ASMR, 빗소리, 힐링",술안주/야식,[AI 증강]
시험 D-DAY 밤샘 세트,공통,에너지 드링크,"핫식스, 커피 (대용량), 졸음방지 껌, 초콜릿","시험기간, 밤샘, 졸림, 집중력 향상, 카페인 충전, 벼락치기, D-DAY, 피곤",간식,[AI 증강]
캠핑 파이어 세트,CU,숯불 닭꼬치,"소시지, 마시멜로우, 맥주 (6캔)","캠핑, 불멍, 바베큐, 밤, 추억, 친구, 여행, 자연",술안주/야식,[AI 증강]
숙취 해소 끝판왕,세븐일레븐,해장라면,"이온음료, 계란, 헛개차","숙취, 다음날, 힘듦, 괴로움, 아침, 출근, 늦잠, 간",라면/분식 조합,[AI 증강]
혼자 영화 보는 날 세트,공통,팝콘 (카라멜),"콜라, 버터 오징어","혼영, 주말, 집, 넷플릭스, 편안함, 영화관, 심심함, 휴식",간식,[AI 증강]
눈 오는 날의 낭만,GS25,군고구마,"호빵 (단팥), 따뜻한 우유","눈, 겨울, 따뜻함, 낭만, 추억, 첫눈, 포근함, 감성",간식,[AI 증강]
퇴근 후 야식 만찬,CU,매콤한 닭발,"쿨피스, 주먹밥","퇴근, 야식, 스트레스 해소, 매운맛, 혼술, 힐링, 소확행",술안주/야식,[AI 증강]
피크닉 도시락,세븐일레븐,유부초밥,"미니 샐러드, 과일 컵","소풍, 나들이, 봄, 데이트, 공원, 돗자리, 햇살, 행복",간편 식사,[AI 증강]
게임 폐인 풀세트,공통,감자칩 (대용량),"탄산음료, 닭강정","게임, 밤샘, 폐인, 심심함, 즐거움, 친구, 리그 오브 레전드, 배틀그라운드",간식,[AI 증강]
최애 아이돌 컴백 기념,GS25,스파클링 와인,"조각 케이크, 트윅스","아이돌, 컴백, 축하, 덕질, 행복, 밤, 친구, 파티",간식,[AI 증강]
다이어트 폭망 세트,CU,치즈 듬뿍 라면,"고기 왕만두, 초코 아이스크림","다이어트, 실패, 유혹, 죄책감, 스트레스, 포기, 폭식, 자포자기",라면/분식 조합,[AI 증강]
출근길 든든 세트,세븐일레븐,삼각김밥 (참치마요),"바나나 우유, 삶은 계란","출근, 아침, 바쁨, 간단함, 든든함, 지하철, 피곤, 졸림",간편 식사,[AI 증강]
갑자기 떠나는 여행,공통,육개장 사발면,"김밥, 생수","여행, 즉흥, 설렘, 자유, 혼자, 드라이브, 휴게소, 힐링",라면/분식 조합,[AI 증강]
심야 드라이브 필수템,GS25,커피 (캔),"오징어 땅콩, 껌","드라이브, 밤, 졸림, 심야, 고속도로, 음악, 새벽, 친구",간식,[AI 증강]
매운맛 도전 챌린지,CU,마라탕면,"쿨피스, 삼각김밥 (전주비빔)","매운맛, 도전, 챌린지, 스트레스, 눈물, 콧물, 친구, 경쟁",라면/분식 조합,[AI 증강]
솔로 크리스마스 극복,세븐일레븐,미니 와인,"치즈, 초콜릿 케이크","크리스마스, 솔로, 외로움, 위로, 집, 영화, 따뜻함, 괜찮아",술안주/야식,[AI 증강]
미세먼지 심한 날,공통,생수,"배즙, 도라지차","미세먼지, 목, 답답함, 건강, 기관지, 마스크, 청량함, 기침",음료,[AI 증강]
과제 폭탄 데드라인,GS25,커피 (카페인),"에너지바, 견과류","과제, 데드라인, 밤샘, 스트레스, 피곤, 집중, 노트북, 카페",간식,[AI 증강]
우울한 날 달콤한 위로,CU,초코 아이스크림 (벤앤제리스),"마카롱, 따뜻한 코코아","우울, 슬픔, 위로, 달콤, 눈물, 감정, 위로, 토닥토닥",간식,[AI 증강]
퇴근 후 힐링 마사지,세븐일레븐,핫팩,"허브티, 안대","피곤, 힐링, 휴식, 따뜻함, 편안함, 퇴근, 집, 마사지",기타,[AI 증강]
비오는날 창밖보며 센치해지는 조합,공통,믹스커피,"계란과자, 버터쿠키","비, 센치, 추억, 회상, 그리움, 촉촉, 창밖, 분위기",간식,[AI 증강]
수영 후 에너지 충전,GS25,닭가슴살,"프로틴 음료, 견과류바","수영, 운동, 건강, 에너지, 근육, 활력, 상쾌, 샤워",간편 식사,[AI 증강]
입맛 없을 때 이 조합!,CU,새콤달콤 비빔면,"군만두, 참치마요 삼각김밥","입맛없음, 잃어버린 입맛, 자극, 매콤, 새콤, 점심, 주말, 순삭",라면/분식 조합,[AI 증강]
캠핑장에서 즐기는 아침,세븐일레븐,모닝빵,"딸기잼, 소시지","캠핑, 아침, 숲, 힐링, 여유, 햇살, 상쾌, 자연",간편 식사,[AI 증강]
추억의 불량식품,공통,아폴로,"쫀드기, 맥주사탕","추억, 옛날, 초딩, 불량식품, 학교, 그리움, 회상, 웃음",간식,[AI 증강]
고된 노동 후 꿀맛,GS25,소세지,"탄산음료, 컵라면","노동, 힘들다, 보상, 시원, 허기짐, 퇴근, 저녁, 꿀맛",간편 식사,[AI 증강]
나만의 작은 사치,CU,수제 맥주,"치즈케이크, 올리브","사치, 혼술, 분위기, 밤, 위로, 나만의 시간, 여유, 행복",술안주/야식,[AI 증강]
아이스크림 홈파티,세븐일레븐,하겐다즈,"브라우니, 마카롱","홈파티, 아이스크림, 달콤, 친구, 신남, 웃음, 주말, 디저트",간식,[AI 증강]
매운 떡볶이 챌린지,공통,불닭 떡볶이,"쿨피스, 단무지","매운맛, 도전, 땀, 눈물, 스트레스 해소, 친구, 경쟁, 챌린지",라면/분식 조합,[AI 증강]
"늦은 밤, 야식의 유혹",GS25,족발,"막걸리, 라면","야식, 밤, 유혹, 후회, 행복, 죄책감, 포만감, 잠",술안주/야식,[AI 증강]
"바쁜 아침, 퀵 브런치",CU,베이글,"크림치즈, 커피","아침, 바쁨, 간편, 브런치, 든든, 출근, 에너지, 카페",간편 식사,[AI 증강]
혼자 떠나는 등산,세븐일레븐,에너지바,"물, 초콜릿","등산, 자연, 힐링, 혼자, 상쾌, 정상, 풍경, 성취감",간식,[AI 증강]
"여름밤, 해변에서의 낭만",공통,캔맥주,"오징어, 불꽃놀이","여름, 바다, 밤, 낭만, 파도, 시원, 친구, 추억",술안주/야식,[AI 증강]
장거리 운전 필수템,GS25,커피,"졸음방지껌, 땅콩","운전, 장거리, 졸림, 안전, 여행, 피곤, 정신, 집중",간식,[AI 증강]
갑작스런 손님 방문,CU,피자,"맥주, 콜라","손님, 파티, 즐거움, 간편, 배달, 웃음, 수다, 행복",간편 식사,[AI 증강]
혼자 즐기는 ASMR,세븐일레븐,젤리,"사탕, 초콜릿","ASMR, 혼자, 조용함, 바스락, 달콤, 편안함, 안정, 휴식",간식,[AI 증강]
시험 끝난 해방감,공통,아이스크림,"과자, 탄산음료","시험, 끝, 해방, 자유, 행복, 즐거움, 친구, 파티",간식,[AI 증강]
오늘따라 힘든 날,GS25,에너지 드링크,"초콜릿, 견과류","힘듦, 위로, 에너지, 충전, 피곤, 스트레스, 토닥토닥, 괜찮아",간식,[AI 증강]
"비 오는 날, 따뜻한 집콕",CU,라면,"김치, 계란","비, 집, 따뜻함, 편안함, 힐링, 아늑함, 빗소리, 휴식",라면/분식 조합,[AI 증강]
"크리스마스, 홈파티",세븐일레븐,케이크,"와인, 치킨","크리스마스, 파티, 친구, 가족, 따뜻함, 행복, 웃음, 추억",간편 식사,[AI 증강]
"나른한 오후, 달콤한 휴식",공통,커피,"도넛, 마카롱","오후, 나른함, 휴식, 달콤, 여유, 카페, 햇살, 충전",간식,[AI 증강]
새벽 감성 폭발,GS25,캔맥주,"감자칩, 육포","새벽, 감성, 외로움, 생각, 음악, 밤, 달, 위로",술안주/야식,[AI 증강]
바쁜 일상 속 소소한 행복,CU,샌드위치,"과일, 우유","일상, 행복, 소소, 감사, 여유, 점심, 활력, 힐링",간편 식사,[AI 증강]
친구와 함께 즐거운 파자마 파티,세븐일레븐,팝콘,"콜라, 과자","친구, 파자마, 파티, 웃음, 밤, 추억, 영화, 즐거움",간식,[AI 증강]
매운맛 마니아 도전,공통,불닭볶음면,"우유, 쿨피스","매운맛, 도전, 땀, 눈물, 스트레스 해소, 극복, 호흡곤란, 이열치열",라면/분식 조합,[AI 증강]
달콤한 디저트 타임,GS25,케이크,"아이스크림, 커피","디저트, 달콤, 행복, 여유, 오후, 카페, 충전, 힐링",간식,[AI 증강]
"늦은 밤, 출출할 때",CU,컵라면,"삼각김밥, 김치","밤, 출출, 야식, 간편, 후루룩, 라면, 꿀맛, 잠",라면/분식 조합,[AI 증강]
혼자 떠나는 낚시,세븐일레븐,김밥,"커피, 물","낚시, 자연, 힐링, 혼자, 여유, 바다, 풍경, 기다림",간편 식사,[AI 증강]
친구들과 함께 보드게임,공통,과자,"음료수, 초콜릿","친구, 게임, 웃음, 밤, 추억, 즐거움, 간식, 행복",간식,[AI 증강]
월급날 FLEX 세트,공통,수입맥주 (4캔),"육포, 나쵸, 수입과자","월급날, 자축, 스트레스 해소, 퇴근 후, 혼술, 영화 감상, 넷플릭스, 소소한 행복",술안주/야식,[AI 생성]
비 오는 날 갬성 세트,GS25,오뎅,"막걸리, 김치전, 컵라면","비 오는 날, 파전, 퇴근길, 우울, 센치, 추억, 빗소리, 따뜻함",술안주/야식,[AI 생성]
밤샘 과제 세트,CU,에너지 드링크,"커피, 초콜릿, 견과류, 핫식스","시험 기간, 밤샘, 과제, 졸림, 집중력 향상, 카페인 충전, 대학생, 발표 준비",간식/디저트,[AI 생성]
혼자 캠핑 분위기 세트,세븐일레븐,숯불 닭꼬치,"번개탄, 부탄가스, 종이컵, 소주","혼자 캠핑, 베란다, 힐링, 불멍, 감성, 분위기, 간단, 저녁",술안주/야식,[AI 생성]
매운맛 폭발 세트,공통,마라탕면 (컵),"쿨피스, 삼각김밥 (참치마요), 계란찜","스트레스 해소, 매운맛, 땀, 화끈, 콧물, 이열치열, 자극적인 맛, 마라",라면/분식 조합,[AI 생성]
